category_id,x_min,y_min,x_max,y_max
零食,0.9760873317718506,1009.4054565429688,1007.77001953125,1080.0,1225.542236328125
零食,0.9999691247940063,463.856689453125,1348.6600341796875,603.513427734375,1570.7623291015625
零食,0.9955990314483643,947.0614624023438,1324.7435302734375,1041.343017578125,1515.2764892578125
零食,0.9999613761901855,569.8529663085938,684.3338012695312,703.3306274414062,949.8599243164062
零食,0.9999890327453613,590.9236450195312,1032.3927001953125,721.8673706054688,1242.9818115234375
零食,0.9901635050773621,757.2533569335938,447.51605224609375,979.7162475585938,584.1616821289062
零食,0.9999829530715942,174.343505859375,1053.5325927734375,345.29962158203125,1297.6656494140625
零食,0.9999891519546509,869.9149169921875,1013.9973754882812,1022.7197265625,1231.712646484375
零食,0.9999816417694092,347.68804931640625,1049.21533203125,456.30291748046875,1244.375
零食,0.9999982118606567,573.229736328125,1338.5341796875,762.3619384765625,1576.370849609375
零食,0.9995020627975464,226.22332763671875,0.0,447.72418212890625,194.80154418945312
零食,0.9999899864196777,682.112548828125,654.0880126953125,875.2919921875,946.6844482421875
零食,0.9998437166213989,256.2482604980469,674.7258911132812,403.6138000488281,974.2625122070312
零食,0.9999945163726807,275.1379089355469,1366.1895751953125,486.7370910644531,1595.2960205078125
零食,0.9999245405197144,557.0904541015625,320.39422607421875,752.516845703125,585.9603271484375
零食,0.9990419745445251,778.2061157226562,331.3691101074219,969.6110229492188,493.7214050292969
零食,0.9997567534446716,430.6697692871094,0.0,647.708251953125,185.47764587402344
零食,0.9999961853027344,783.0173950195312,1335.1485595703125,975.0403442382812,1562.3470458984375
零食,0.9999895095825195,718.9324951171875,1033.052001953125,872.9183349609375,1238.607666015625
零食,0.9999803304672241,342.68988037109375,395.93060302734375,563.4959716796875,597.974853515625
零食,0.9990999698638916,761.1954345703125,1723.6527099609375,895.270751953125,1916.3709716796875
零食,0.999993085861206,389.51776123046875,662.5975341796875,582.3226928710938,954.7735595703125
零食,0.9999659061431885,91.52904510498047,691.4010009765625,284.53924560546875,995.084716796875
零食,0.9998366832733154,3.415313720703125,0.0,225.68829345703125,208.0953369140625
零食,0.99970942735672,852.7603149414062,0.0,1063.630615234375,176.1643829345703
零食,0.062001124024391174,1019.4337158203125,1329.3709716796875,1079.8306884765625,1534.5706787109375
零食,0.9999802112579346,849.183837890625,651.9274291992188,1030.978759765625,922.0315551757812
零食,0.9862138628959656,614.4933471679688,1752.8497314453125,758.7199096679688,1914.5633544921875
零食,0.9999982118606567,445.6349182128906,1040.376220703125,598.1685791015625,1268.178466796875
零食,0.9602158665657043,919.48779296875,413.3055725097656,1062.57763671875,570.9319458007812
零食,0.14058659970760345,18.894073486328125,1684.2530517578125,220.45692443847656,1751.4224853515625
零食,0.7510486245155334,50.864341735839844,1773.9619140625,267.2332458496094,1913.910400390625
零食,0.8484479188919067,918.108154296875,1701.7769775390625,1074.4805908203125,1916.2821044921875
零食,0.9387009143829346,3.6239547729492188,1423.2294921875,235.96597290039062,1621.42626953125
零食,0.7271221280097961,3.6431045532226562,1091.174072265625,123.3150405883789,1293.7021484375
零食,0.7915781140327454,959.9893188476562,230.8865966796875,1072.8848876953125,306.61334228515625
零食,0.17225824296474457,973.370361328125,309.25274658203125,1076.707275390625,386.3292236328125
泡面,0.7254509329795837,58.59271240234375,1769.462158203125,263.6197204589844,1915.2587890625
啤酒,0.6545302271842957,7.751983642578125,1092.7545166015625,124.54356384277344,1300.3612060546875
