category_id,x_min,y_min,x_max,y_max
零食,0.5163541436195374,351.0515441894531,470.9454345703125,440.2243347167969,683.842041015625
零食,0.3488691449165344,753.427490234375,1322.932373046875,834.98095703125,1435.293701171875
饮料,0.986234724521637,961.1759033203125,109.56684875488281,1041.41064453125,339.36669921875
饮料,0.409895122051239,221.57725524902344,880.2503051757812,311.49700927734375,1005.2963256835938
饮料,0.9988656044006348,625.9426879882812,103.7237777709961,722.1533813476562,350.6693115234375
饮料,0.9940151572227478,145.25222778320312,146.300048828125,240.52105712890625,366.8590087890625
饮料,0.9804049134254456,882.4638061523438,102.17998504638672,974.9462280273438,340.537841796875
饮料,0.996513307094574,795.8079833984375,98.51972198486328,886.119384765625,343.8319396972656
饮料,0.9772482514381409,477.0635070800781,120.93350982666016,572.8090209960938,355.33251953125
饮料,0.996907651424408,708.97802734375,106.54999542236328,801.676513671875,348.196533203125
饮料,0.8123281598091125,77.64674377441406,157.8824005126953,158.62484741210938,373.56427001953125
饮料,0.9913047552108765,226.45956420898438,132.2742919921875,320.2225646972656,368.656982421875
饮料,0.9618788361549377,318.32281494140625,124.94155883789062,403.3502197265625,367.29827880859375
饮料,0.9988993406295776,561.5386352539062,119.95941162109375,639.7886352539062,352.4906005859375
饮料,0.6624199748039246,783.5907592773438,1689.814208984375,865.8074340820312,1888.092529296875
饮料,0.4379532039165497,502.25262451171875,459.5909423828125,599.5687866210938,678.77490234375
饮料,0.9854573607444763,393.1734924316406,118.42459869384766,484.6615905761719,359.4554748535156
饮料,0.9699028134346008,1028.830322265625,97.22209167480469,1078.33935546875,341.50445556640625
饮料,0.9568092823028564,361.08917236328125,1093.2877197265625,441.976318359375,1283.2337646484375
饮料,0.4839695692062378,161.08480834960938,467.3899230957031,265.00250244140625,696.9557495117188
饮料,0.9795033931732178,293.99615478515625,1092.4920654296875,368.53619384765625,1282.0828857421875
饮料,0.9821617603302002,762.9270629882812,1403.005126953125,839.1463012695312,1501.827392578125
饮料,0.8788775205612183,825.9169921875,1323.983642578125,898.569580078125,1427.531982421875
饮料,0.6736226081848145,915.9710693359375,756.1806640625,999.393310546875,960.682373046875
饮料,0.42956072092056274,138.71141052246094,884.6868286132812,228.57740783691406,1016.8504028320312
饮料,0.9649478197097778,435.9444885253906,1088.7529296875,509.5541687011719,1276.882080078125
饮料,0.8432623147964478,368.8477478027344,1684.731201171875,451.2091369628906,1911.718505859375
饮料,0.6639910340309143,264.73077392578125,459.5735168457031,354.9111328125,683.3612060546875
饮料,0.9263944029808044,644.8610229492188,1683.444580078125,713.7265014648438,1878.646484375
饮料,0.8964972496032715,576.4635009765625,1678.6865234375,647.561767578125,1890.992919921875
饮料,0.8919740915298462,511.8714294433594,1097.878173828125,581.531494140625,1275.85546875
饮料,0.7396355867385864,850.6346435546875,1652.773193359375,920.1832275390625,1837.3984375
饮料,0.9758344888687134,232.69424438476562,1072.7027587890625,302.3996276855469,1274.6898193359375
饮料,0.7630550265312195,581.0586547851562,798.6885986328125,657.5509643554688,986.41748046875
饮料,0.8458561301231384,896.7072143554688,1336.328857421875,969.5773315429688,1493.0390625
饮料,0.99652498960495,832.892822265625,1403.5462646484375,901.03369140625,1498.6605224609375
