category_id,x_min,y_min,x_max,y_max
零食,0.05045796185731888,410.01617431640625,143.4218292236328,679.0741577148438,406.95318603515625
零食,0.23008611798286438,0.5657424926757812,244.12948608398438,150.28787231445312,415.4106140136719
零食,0.1370772123336792,0.6684303283691406,643.0523071289062,117.56083679199219,840.4655151367188
零食,0.06302931159734726,229.27127075195312,175.6099853515625,417.4465026855469,401.762939453125
零食,0.6806430220603943,921.0851440429688,544.2092895507812,1080.0,805.2882690429688
零食,0.05610940232872963,406.2220153808594,589.4820556640625,615.1031494140625,811.9471435546875
泡面,0.9979475140571594,413.2623596191406,581.6227416992188,628.5814208984375,823.5856323242188
泡面,0.9999690055847168,948.3218383789062,895.1922607421875,1079.27880859375,1109.141357421875
泡面,0.9999711513519287,224.14109802246094,1075.92431640625,481.4881591796875,1290.31494140625
泡面,0.9999912977218628,241.26075744628906,1496.283203125,493.60125732421875,1656.68359375
泡面,0.9865484833717346,86.75231170654297,936.1119384765625,305.02069091796875,1075.415771484375
泡面,0.9999932050704956,232.28726196289062,1341.98193359375,495.8579406738281,1517.63720703125
泡面,0.9998753070831299,423.4122619628906,0.0,693.7252197265625,185.98641967773438
泡面,0.9999840259552002,469.40118408203125,1491.1492919921875,718.8934936523438,1637.6541748046875
泡面,0.999613344669342,701.2088623046875,967.3353271484375,953.103759765625,1200.2589111328125
泡面,0.9999544620513916,697.7631225585938,1414.160888671875,908.5208129882812,1631.103271484375
泡面,0.9214496612548828,3.539104461669922,634.441162109375,112.34257507324219,841.5872802734375
泡面,0.999758780002594,710.5822143554688,148.306884765625,991.9014282226562,391.84503173828125
泡面,0.9993705153465271,27.18932342529297,1471.51513671875,266.3712463378906,1651.271484375
泡面,0.8837568163871765,1.752349853515625,236.4124298095703,141.79627990722656,413.64691162109375
泡面,0.9997302889823914,906.3075561523438,1473.5174560546875,1080.0,1641.8189697265625
泡面,0.9999785423278809,911.9539794921875,1310.2337646484375,1080.0,1482.0867919921875
泡面,0.9987132549285889,3.1666412353515625,1084.5750732421875,235.78955078125,1290.2388916015625
泡面,0.9998944997787476,944.7739868164062,1089.7647705078125,1080.0,1252.9984130859375
泡面,0.9740641117095947,459.1136474609375,993.744140625,660.2607421875,1126.4423828125
泡面,0.9999877214431763,479.50909423828125,1322.2584228515625,719.9962768554688,1495.0106201171875
泡面,0.9997878670692444,4.742378234863281,1343.564208984375,221.49432373046875,1501.51416015625
泡面,0.9992406368255615,408.651611328125,153.43246459960938,695.71044921875,407.1996154785156
泡面,0.7754703760147095,919.8690185546875,542.8284912109375,1080.0,809.129638671875
泡面,0.05945461243391037,981.87451171875,239.9125213623047,1075.370361328125,363.84503173828125
泡面,0.985744297504425,237.26686096191406,179.2667236328125,423.8048095703125,395.63446044921875
泡面,0.9940052628517151,93.389892578125,570.1121215820312,388.5910949707031,833.0216674804688
泡面,0.5437765717506409,464.7615966796875,890.9114379882812,635.5472412109375,993.4406127929688
泡面,0.9999048709869385,721.560791015625,0.0,1038.034912109375,180.18310546875
泡面,0.07648047804832458,983.222412109375,209.73171997070312,1080.0,298.5655517578125
