category_id,x_min,y_min,x_max,y_max
饮料,0.09911736845970154,213.27474975585938,1258.8861083984375,339.6360168457031,1454.9705810546875
饮料,0.8682039976119995,902.9754638671875,874.9122314453125,1037.6385498046875,1182.4700927734375
饮料,0.34977009892463684,0.8833122253417969,1265.2520751953125,125.51275634765625,1629.1153564453125
饮料,0.31189560890197754,745.9215698242188,883.050537109375,857.9702758789062,1175.837890625
啤酒,0.26043665409088135,216.94943237304688,1264.11279296875,341.5135192871094,1453.93701171875
红酒,0.7457551956176758,671.565185546875,516.2410888671875,752.757080078125,824.71484375
红酒,0.6202297806739807,0.44670867919921875,240.29092407226562,52.478614807128906,453.8585510253906
红酒,0.3272332549095154,1015.4639892578125,1236.9666748046875,1080.0,1559.6741943359375
红酒,0.3100307285785675,458.4077453613281,589.883056640625,555.3900756835938,821.0234375
红酒,0.555308997631073,315.6678771972656,549.00390625,411.7658386230469,826.45068359375
红酒,0.4233568608760834,2.6206912994384766,563.7662353515625,55.905372619628906,843.306396484375
红酒,0.7032683491706848,546.938232421875,897.3846435546875,646.68017578125,1158.6566162109375
红酒,0.47888752818107605,186.99685668945312,903.2901611328125,280.2151184082031,1166.9554443359375
红酒,0.6749008893966675,38.0946044921875,554.7708740234375,118.66995239257812,842.7882080078125
红酒,0.09645974636077881,291.4354248046875,546.6015625,365.4525146484375,831.72900390625
红酒,0.44830429553985596,33.3526611328125,916.385986328125,115.61581420898438,1189.383056640625
红酒,0.5605992674827576,365.8380432128906,920.1226196289062,439.6016540527344,1172.402099609375
红酒,0.5153576135635376,279.5422058105469,914.1851196289062,374.5300598144531,1187.6728515625
红酒,0.6882301568984985,750.1971435546875,891.9609375,845.61669921875,1168.864013671875
红酒,0.18148085474967957,426.8699035644531,584.665771484375,505.4580383300781,810.111328125
红酒,0.769508957862854,594.592529296875,529.1299438476562,672.420654296875,811.1381225585938
红酒,0.6846919059753418,829.8554077148438,1244.959228515625,928.4575805664062,1502.524169921875
红酒,0.22345714271068573,569.7385864257812,534.4962158203125,640.7962036132812,809.0035400390625
红酒,0.7774479389190674,910.3076171875,1256.3055419921875,1037.35107421875,1570.7686767578125
红酒,0.7176113128662109,201.67572021484375,554.419921875,286.5365295410156,820.48486328125
红酒,0.5812066793441772,744.5991821289062,533.1748657226562,817.3543090820312,807.9358520507812
红酒,0.24996227025985718,46.11542510986328,243.44607543945312,119.58467864990234,445.7091979980469
红酒,0.46737441420555115,19.185773849487305,245.2095184326172,82.29525756835938,444.8809814453125
红酒,0.914953351020813,321.0223693847656,215.9202880859375,397.8406677246094,434.4625244140625
红酒,0.9136561751365662,374.3863830566406,187.12423706054688,460.4918518066406,434.9577941894531
红酒,0.6015065312385559,97.970703125,905.47705078125,183.07571411132812,1153.50537109375
红酒,0.20249611139297485,247.18264770507812,555.0270385742188,315.0134582519531,825.4600219726562
红酒,0.84825599193573,495.6200866699219,148.02584838867188,588.654296875,435.3484191894531
红酒,0.7174004316329956,104.95492553710938,553.9137573242188,198.80291748046875,838.9194946289062
红酒,0.5516384243965149,750.2369995117188,1263.45849609375,840.1372680664062,1544.4921875
红酒,0.8762949705123901,571.111572265625,157.99075317382812,667.1944580078125,436.6726379394531
红酒,0.30076611042022705,217.59243774414062,1257.5517578125,342.2832336425781,1451.845947265625
红酒,0.8994663953781128,138.7439727783203,247.36715698242188,208.37318420410156,433.0508728027344
红酒,0.5566769242286682,741.0404052734375,156.54258728027344,830.1290283203125,423.21234130859375
红酒,0.08692348748445511,623.6168823242188,896.95263671875,681.7562866210938,1168.193115234375
红酒,0.3803512752056122,430.7096252441406,164.48167419433594,512.9725952148438,442.16473388671875
红酒,0.23356173932552338,0.0,925.6844482421875,48.085472106933594,1213.3504638671875
红酒,0.25203371047973633,712.4358520507812,152.0501251220703,795.2373657226562,416.750244140625
红酒,0.6407504081726074,793.940673828125,158.15626525878906,893.3585205078125,419.0281982421875
红酒,0.815121054649353,652.5695190429688,166.54356384277344,739.6621704101562,428.8817138671875
红酒,0.89116370677948,260.3848571777344,228.08026123046875,335.1419982910156,435.27874755859375
红酒,0.9431468844413757,194.33180236816406,245.548583984375,271.2259521484375,442.078857421875
红酒,0.4414807856082916,103.90403747558594,1268.60986328125,236.9563751220703,1632.0654296875
红酒,0.34632575511932373,485.47821044921875,1258.9580078125,642.7277221679688,1609.58935546875
红酒,0.08829067647457123,170.59011840820312,249.219482421875,234.62759399414062,436.53289794921875
红酒,0.8255648016929626,71.50194549560547,237.9322967529297,153.49041748046875,442.7325439453125
红酒,0.45849716663360596,665.101318359375,1301.166015625,782.603271484375,1604.927001953125
红酒,0.5096249580383301,447.03387451171875,931.5850830078125,532.8541870117188,1171.3936767578125
红酒,0.7875043153762817,660.213623046875,894.5942993164062,765.360595703125,1175.5316162109375
红酒,0.5110568404197693,9.506458282470703,1284.232666015625,123.81971740722656,1610.66796875
红酒,0.5138458013534546,329.8992614746094,1249.435302734375,478.0627136230469,1499.0048828125
红酒,0.10379060357809067,662.0125732421875,894.849365234375,870.7178955078125,1157.593994140625
矿泉水,0.5667557120323181,28.238990783691406,916.4901123046875,117.59075164794922,1194.1031494140625
矿泉水,0.6261041760444641,279.3356018066406,905.2012329101562,369.3392028808594,1186.252197265625
矿泉水,0.3507459759712219,589.191162109375,523.9176025390625,669.0098876953125,811.9368896484375
矿泉水,0.6904708743095398,435.9391784667969,927.9711303710938,535.2974243164062,1176.5843505859375
矿泉水,0.6965253949165344,454.36053466796875,595.3748779296875,551.6144409179688,823.90478515625
矿泉水,0.44320759177207947,107.44581604003906,550.5629272460938,203.6300811767578,844.1480102539062
矿泉水,0.3372947573661804,428.9109191894531,581.4552001953125,503.9044494628906,809.006103515625
矿泉水,0.24759478867053986,202.19137573242188,552.1712646484375,287.227294921875,826.969970703125
矿泉水,0.30287089943885803,669.4784545898438,893.1847534179688,759.2150268554688,1173.2744140625
矿泉水,0.6188615560531616,189.76580810546875,905.682861328125,279.06829833984375,1167.46484375
矿泉水,0.1785096973180771,69.37051391601562,239.2962646484375,153.3042755126953,447.2149658203125
